Country,PDOid,PDOnam,Registration,Category_of_wine_product,Varieties_OIV,Varieties_Other,Maximum_yield_hl,Maximum_yield_kg,Minimum_planting_density,Irrigation,Amendment,PDOinfo,Municip_nam,begin_lifes
AT,PDO-AT-A0205,Wachau,1996-11-15,Quality Sparkling Wine/Wine,Blauburger N/Blauer Burgunder N/Blauer Portugieser N/Blauer Wildbacher N/Blaufränkisch N/Bouvier B/Cabernet Franc N/Cabernet Sauvignon N/Chardonnay B/Frühroter Veltliner B/Furmint B/Gelber Muskateller B/Goldburger B/Grauer Burgunder B/Grüner Veltliner B/Jubiläumsrebe Rg/Merlot N/Muskat Ottonel B/Müller Thurgau B/Neuburger B/Roesler N/Roter Vetliner B/Rotgipfler B/Ráthay N/Sankt Laurent N/Sauvignon Blanc B/Scheurebe B/Sylvaner B/Syrah N/Weißer Riesling B/Welschriesling B/Zierfandler Rs/Zweigelt N,Traminer B/Weißer Burgunder B,67.5,9000,na,na,No,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/3801,Aggsbach/Bergern Im Dunkelsteinerwald/Dürnstein/Mautern An Der Donau/Mühldorf/Rossatz-Arnsdorf/Spitz/Weißenkirchen In Der Wachau,04/11/2021
AT,PDO-AT-A0206,Weinviertel,1996-11-15,Wine,Grüner Veltliner B,na,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/3861,Aderklaa/Alberndorf Im Pulkautal/Altenburg/Altlichtenwarth/Andlersdorf/Angern An Der March/Asparn An Der Zaya/Auersthal/Bad Pirawarth/Bernhardsthal/Bisamberg/Bockfließ/Brunn An Der Wild/Burgschleinitz-Kühnring/Deutsch-Wagram/Drasenhofen/Drosendorf-Zissersdorf/Drösing/Dürnkrut/Ebenthal/Eckartsau/Eggenburg/Engelhartstetten/Enzersfeld Im Weinviertel/Ernstbrunn/Falkenstein/Fallbach/Gars Am Kamp/Gaubitsch/Gaweinstal/Geras/Gerasdorf Bei Wien/Glinzendorf/Gnadendorf/Grabern/Groß-Enzersdorf/Groß-Schweinbarth/Großebersdorf/Großengersdorf/Großharras/Großhofen/Großkrut/Großmugl/Großrußbach/Guntersdorf/Gänserndorf/Göllersdorf/Hadres/Hagenbrunn/Hardegg/Haringsee/Harmannsdorf/Haugsdorf/Hausbrunn/Hauskirchen/Hausleiten/Heldenberg/Herrnbaumgarten/Hochleithen/Hohenau An Der March/Hohenruppersdorf/Hohenwarth-Mühlbach Am Manhartsberg/Hollabrunn/Horn/Irnfritz-Messern/Japons/Jedenspeigen/Korneuburg/Kreuttal/Kreuzstetten/Laa An Der Thaya/Ladendorf/Langau/Langenzersdorf/Lassee/Leitzersdorf/Leobendorf/Leopoldsdorf Im Marchfelde/Mailberg/Maissau/Mannsdorf An Der Donau/Marchegg/Markgrafneusiedl/Matzen-Raggendorf/Meiseldorf/Mistelbach/Nappersdorf-Kammersdorf/Neudorf Im Weinviertel/Neusiedl An Der Zaya/Niederhollabrunn/Niederleis/Obersiebenbrunn/Orth An Der Donau/Ottenthal/Palterndorf-Dobermannsdorf/Parbasdorf/Pernegg/Pernersdorf/Pillichsdorf/Poysdorf/Prottes/Pulkau/Raasdorf/Rabensburg/Ravelsbach/Retz/Retzbach/Ringelsdorf-Niederabsdorf/Rosenburg-Mold/Rußbach/Röhrenbach/Röschitz/Sankt Bernhard-Frauenhofen/Schrattenberg/Schrattenthal/Schönkirchen-Reyersdorf/Seefeld-Kadolz/Sierndorf/Sigmundsherberg/Sitzendorf An Der Schmida/Spannberg/Spillern/Staatz/Stetten/Stockerau/Straning-Grafenberg/Strasshof An Der Nordbahn/Stronsdorf/Sulz Im Weinviertel/Ulrichskirchen-Schleinbach/Untersiebenbrunn/Unterstinkenbrunn/Velm-Götzendorf/Weiden An Der March/Weikendorf/Weitersfeld/Wildendürnbach/Wilfersdorf/Wolkersdorf Im Weinviertel/Wullersdorf/Zellerndorf/Ziersdorf/Zistersdorf,04/11/2021
AT,PDO-AT-A0207,Burgenland,1999-02-19,Quality Sparkling Wine/Wine,Blauburger N/Blauer Burgunder N/Blauer Portugieser N/Blauer Wildbacher N/Blaufränkisch N/Bouvier B/Cabernet Franc N/Cabernet Sauvignon N/Chardonnay B/Frühroter Veltliner B/Furmint B/Gelber Muskateller B/Goldburger B/Grauer Burgunder B/Grüner Veltliner B/Jubiläumsrebe Rg/Merlot N/Muskat Ottonel B/Müller Thurgau B/Neuburger B/Roesler N/Roter Vetliner B/Rotgipfler B/Ráthay N/Sankt Laurent N/Sauvignon Blanc B/Scheurebe B/Sylvaner B/Syrah N/Weißer Riesling B/Welschriesling B/Zierfandler Rs/Zweigelt N,Traminer B/Weißer Burgunder B,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4142,Andau/Antau/Apetlon/Bad Sauerbrunn/Bad Tatzmannsdorf/Badersdorf/Baumgarten/Bernstein/Bildein/Bocksdorf/Breitenbrunn Am Neusiedler See/Bruckneudorf/Burgauberg-Neudauberg/Deutsch Jahrndorf/Deutsch Kaltenbrunn/Deutsch Schützen-Eisenberg/Deutschkreutz/Donnerskirchen/Draßburg/Draßmarkt/Eberau/Edelstal/Eisenstadt/Eltendorf/Forchtenstein/Frankenau-Unterpullendorf/Frauenkirchen/Gattendorf/Gerersdorf-Sulz/Gols/Grafenschachen/Großhöflein/Großmürbisch/Großpetersdorf/Großwarasdorf/Güssing/Güttenbach/Hackerberg/Halbturn/Hannersdorf/Heiligenbrunn/Heiligenkreuz Im Lafnitztal/Heugraben/Hirm/Horitschon/Hornstein/Illmitz/Inzenhof/Jabing/Jennersdorf/Jois/Jánossomorja/Kaisersdorf/Kemeten/Kittsee/Kleinmürbisch/Klingenbach/Kobersdorf/Kohfidisch/Krensdorf/Kukmirn/Königsdorf/Lackenbach/Lackendorf/Leithaprodersdorf/Litzelsdorf/Lockenhaus/Loipersbach Im Burgenland/Loipersdorf-Kitzladen/Loretto/Lutzmannsburg/Mannersdorf An Der Rabnitz/Mariasdorf/Markt Allhau/Markt Neuhodis/Markt Sankt Martin/Marz/Mattersburg/Minihof-Liebau/Mischendorf/Mogersdorf/Moschendorf/Mönchhof/Mörbisch Am See/Mühlgraben/Müllendorf/Neckenmarkt/Neuberg Im Burgenland/Neudorf/Neudörfl/Neufeld An Der Leitha/Neuhaus Am Klausenbach/Neusiedl Am See/Neustift An Der Lafnitz/Neustift Bei Güssing/Neutal/Nickelsdorf/Nikitsch/Oberdorf Im Burgenland/Oberloisdorf/Oberpullendorf/Oberschützen/Oberwart/Oggau Am Neusiedler See/Olbendorf/Ollersdorf Im Burgenland/Oslip/Pama/Pamhagen/Parndorf/Pilgersdorf/Pinkafeld/Piringsdorf/Podersdorf Am See/Potzneusiedl/Purbach Am Neusiedler See/Pöttelsdorf/Pöttsching/Raiding/Rauchwart/Rechnitz/Riedlingsdorf/Ritzing/Rohr Im Burgenland/Rohrbach Bei Mattersburg/Rotenturm An Der Pinka/Rudersdorf/Rust/Sankt Andrä Am Zicksee/Sankt Margarethen Im Burgenland/Sankt Martin An Der Raab/Sankt Michael Im Burgenland/Schachendorf/Schandorf/Schattendorf/Schützen Am Gebirge/Siegendorf/Sieggraben/Sigleß/Stadtschlaining/Stegersbach/Steinberg-Dörfl/Steinbrunn/Stinatz/Stoob/Stotzing/Strem/Tadten/Tobaj/Trausdorf An Der Wulka/Tschanigraben/Unterfrauenhaid/Unterkohlstätten/Unterrabnitz-Schwendgraben/Unterwart/Wallern Im Burgenland/Weichselbaum/Weiden Am See/Weiden Bei Rechnitz/Weingraben/Weppersdorf/Wiesen/Wiesfleck/Wimpassing An Der Leitha/Winden Am See/Wolfau/Wulkaprodersdorf/Wörterberg/Zagersdorf/Zemendorf-Stöttera/Zillingtal/Zurndorf,04/11/2021
AT,PDO-AT-A0208,Kremstal,1996-11-15,Wine,Grüner Veltliner B/Weißer Riesling B,na,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4143,Droß/Furth Bei Göttweig/Gedersdorf/Krems An Der Donau/Paudorf/Rohrendorf Bei Krems/Senftenberg/Stratzing,04/11/2021
AT,PDO-AT-A0209,Kamptal,1996-11-15,Wine,Grüner Veltliner B/Weißer Riesling B,na,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4222,Grafenegg/Hadersdorf-Kammern/Langenlois/Lengenfeld/Schönberg Am Kamp/Straß Im Straßertale,04/11/2021
AT,PDO-AT-A0210,Traisental,1996-11-15,Wine,Grüner Veltliner B/Weißer Riesling B,na,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4223,Altlengbach/Asperhofen/Brand-Laaben/Böheimkirchen/Eichgraben/Frankenfels/Gablitz/Gerersdorf/Hafnerbach/Haunoldstein/Herzogenburg/Hofstetten-Grünau/Inzersdorf-Getzersdorf/Kapelln/Karlstetten/Kasten Bei Böheimkirchen/Kirchberg An Der Pielach/Kirchstetten/Loich/Maria-Anzbach/Markersdorf-Haindorf/Mauerbach/Michelbach/Neidling/Neulengbach/Neustift-Innermanzing/Nußdorf Ob Der Traisen/Ober-Grafendorf/Obritzberg-Rust/Perschling/Pressbaum/Prinzersdorf/Purkersdorf/Pyhra/Rabenstein An Der Pielach/Sankt Margarethen An Der Sierning/Sankt Pölten/Schwarzenbach An Der Pielach/Sitzenberg-Reidling/Statzendorf/Stössing/Traismauer/Tullnerbach/Weinburg/Wilhelmsburg/Wolfsgraben/Wölbling,04/11/2021
AT,PDO-AT-A0214,Mittelburgenland,1996-11-15,Wine,Blaufränkisch N,na,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4285,Deutschkreutz/Draßmarkt/Frankenau-Unterpullendorf/Großwarasdorf/Horitschon/Kaisersdorf/Kobersdorf/Lackenbach/Lackendorf/Lockenhaus/Lutzmannsburg/Mannersdorf An Der Rabnitz/Markt Sankt Martin/Neckenmarkt/Neutal/Nikitsch/Oberloisdorf/Oberpullendorf/Pilgersdorf/Piringsdorf/Raiding/Ritzing/Steinberg-Dörfl/Stoob/Unterfrauenhaid/Unterrabnitz-Schwendgraben/Weingraben/Weppersdorf,04/11/2021
AT,PDO-AT-A0215,Eisenberg,2011-12-05,Wine,Blaufränkisch N,na,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4421,Bad Tatzmannsdorf/Badersdorf/Bernstein/Bildein/Bocksdorf/Burgauberg-Neudauberg/Deutsch Kaltenbrunn/Deutsch Schützen-Eisenberg/Eberau/Eltendorf/Gerersdorf-Sulz/Grafenschachen/Großmürbisch/Großpetersdorf/Güssing/Güttenbach/Hackerberg/Hannersdorf/Heiligenbrunn/Heiligenkreuz Im Lafnitztal/Heugraben/Inzenhof/Jabing/Jennersdorf/Kemeten/Kleinmürbisch/Kohfidisch/Kukmirn/Königsdorf/Litzelsdorf/Loipersdorf-Kitzladen/Mariasdorf/Markt Allhau/Markt Neuhodis/Minihof-Liebau/Mischendorf/Mogersdorf/Moschendorf/Mühlgraben/Neuberg Im Burgenland/Neuhaus Am Klausenbach/Neustift An Der Lafnitz/Neustift Bei Güssing/Oberdorf Im Burgenland/Oberschützen/Oberwart/Olbendorf/Ollersdorf Im Burgenland/Pinkafeld/Rauchwart/Rechnitz/Riedlingsdorf/Rohr Im Burgenland/Rotenturm An Der Pinka/Rudersdorf/Sankt Martin An Der Raab/Sankt Michael Im Burgenland/Schachendorf/Schandorf/Stadtschlaining/Stegersbach/Stinatz/Strem/Tobaj/Tschanigraben/Unterkohlstätten/Unterwart/Weichselbaum/Weiden Bei Rechnitz/Wiesfleck/Wolfau/Wörterberg,04/11/2021
AT,PDO-AT-A0216,Leithaberg,2009-08-01,Wine,Blaufränkisch N/Chardonnay B/Grüner Veltliner B/Neuburger B,Pinot Blanc B,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/4644,Breitenbrunn Am Neusiedler See/Donnerskirchen/Eisenstadt/Großhöflein/Hornstein/Jois/Klingenbach/Leithaprodersdorf/Loretto/Mörbisch Am See/Müllendorf/Neufeld An Der Leitha/Neusiedl Am See/Oggau Am Neusiedler See/Oslip/Purbach Am Neusiedler See/Rust/Sankt Margarethen Im Burgenland/Schützen Am Gebirge/Siegendorf/Steinbrunn/Stotzing/Trausdorf An Der Wulka/Wimpassing An Der Leitha/Winden Am See/Wulkaprodersdorf/Zagersdorf/Zillingtal,04/11/2021
AT,PDO-AT-A0217,Carnuntum,1996-11-15,Quality Sparkling Wine/Wine,Blauburger N/Blauer Burgunder N/Blauer Portugieser N/Blauer Wildbacher N/Blaufränkisch N/Bouvier B/Cabernet Franc N/Cabernet Sauvignon N/Chardonnay B/Frühroter Veltliner B/Furmint B/Gelber Muskateller B/Goldburger B/Grauer Burgunder B/Grüner Veltliner B/Jubiläumsrebe Rg/Merlot N/Muskat Ottonel B/Müller Thurgau B/Neuburger B/Roesler N/Roter Vetliner B/Rotgipfler B/Ráthay N/Sankt Laurent N/Sauvignon Blanc B/Scheurebe B/Sylvaner B/Syrah N/Weißer Riesling B/Welschriesling B/Zierfandler Rs/Zweigelt N,Traminer B/Weißer Burgunder B,67.5,9000,na,na,No,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/5504,Au Am Leithaberge/Bad Deutsch-Altenburg/Berg/Bruck An Der Leitha/Ebergassing/Enzersdorf An Der Fischa/Fischamend/Gramatneusiedl/Göttlesbrunn-Arbesthal/Götzendorf An Der Leitha/Hainburg An Der Donau/Haslau-Maria Ellend/Himberg/Hof Am Leithaberge/Hundsheim/Höflein/Klein-Neusiedl/Lanzendorf/Leopoldsdorf/Mannersdorf Am Leithagebirge/Maria-Lanzendorf/Moosbrunn/Petronell-Carnuntum/Prellenkirchen/Rauchenwarth/Rohrau/Scharndorf/Schwadorf/Schwechat/Sommerein/Trautmannsdorf An Der Leitha/Wolfsthal/Zwölfaxing,04/11/2021
AT,PDO-AT-A0218,Kärnten,2004-04-14,Quality Sparkling Wine/Wine,Blauburger N/Blauer Burgunder N/Blauer Portugieser N/Blauer Wildbacher N/Blaufränkisch N/Bouvier B/Cabernet Franc N/Cabernet Sauvignon N/Chardonnay B/Frühroter Veltliner B/Furmint B/Gelber Muskateller B/Goldburger B/Grauer Burgunder B/Grüner Veltliner B/Jubiläumsrebe Rg/Merlot N/Muskat Ottonel B/Müller Thurgau B/Neuburger B/Roesler N/Roter Vetliner B/Rotgipfler B/Ráthay N/Sankt Laurent N/Sauvignon Blanc B/Scheurebe B/Sylvaner B/Syrah N/Weißer Riesling B/Welschriesling B/Zierfandler Rs/Zweigelt N,Traminer B/Weißer Burgunder B,na,10000,na,na,Yes,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/10544,Afritz Am See/Albeck/Althofen/Arnoldstein/Arriach/Bad Bleiberg/Bad Kleinkirchheim/Bad Sankt Leonhard Im Lavanttal/Baldramsdorf/Berg Im Drautal/Bleiburg/Brückl/Dellach/Dellach Im Drautal/Deutsch-Griffen/Diex/Ebenthal In Kärnten/Eberndorf/Eberstein/Eisenkappel-Vellach/Feistritz An Der Gail/Feistritz Im Rosental/Feistritz Ob Bleiburg/Feld Am See/Feldkirchen In Kärnten/Ferlach/Ferndorf/Finkenstein Am Faaker See/Flattach/Frantschach-Sankt Gertraud/Frauenstein/Fresach/Friesach/Gallizien/Gitschtal/Glanegg/Globasnitz/Glödnitz/Gmünd In Kärnten/Gnesau/Grafenstein/Greifenburg/Griffen/Großkirchheim/Gurk/Guttaring/Heiligenblut Am Großglockner/Hermagor-Pressegger See/Himmelberg/Hohenthurn/Hüttenberg/Irschen/Kappel Am Krappfeld/Keutschach Am See/Kirchbach/Klagenfurt Am Wörthersee/Kleblach-Lind/Klein Sankt Paul/Krems In Kärnten/Krumpendorf Am Wörthersee/Kötschach-Mauthen/Köttmannsdorf/Lavamünd/Lendorf/Lesachtal/Liebenfels/Ludmannsdorf/Lurnfeld/Magdalensberg/Mallnitz/Malta/Maria Rain/Maria Saal/Maria Wörth/Metnitz/Micheldorf/Millstatt Am See/Moosburg/Mölbling/Mörtschach/Mühldorf/Neuhaus/Nötsch Im Gailtal/Oberdrauburg/Obervellach/Ossiach/Paternion/Poggersdorf/Preitenegg/Pörtschach Am Wörthersee/Radenthein/Rangersdorf/Reichenau/Reichenfels/Reißeck/Rennweg Am Katschberg/Rosegg/Ruden/Sachsenburg/Sankt Andrä/Sankt Georgen Am Längsee/Sankt Georgen Im Lavanttal/Sankt Jakob Im Rosental/Sankt Kanzian Am Klopeiner See/Sankt Margareten Im Rosental/Sankt Paul Im Lavanttal/Sankt Stefan Im Gailtal/Sankt Urban/Sankt Veit An Der Glan/Schiefling Am Wörthersee/Seeboden Am Millstätter See/Sittersdorf/Spittal An Der Drau/Stall/Steindorf Am Ossiacher See/Steinfeld/Steuerberg/Stockenboi/Straßburg/Techelsberg Am Wörther See/Trebesing/Treffen Am Ossiacher See/Velden Am Wörthersee/Villach/Völkermarkt/Weitensfeld Im Gurktal/Weißensee/Weißenstein/Wernberg/Winklern/Wolfsberg/Zell,04/11/2021
AT,PDO-AT-A0219,Neusiedlersee,1996-11-15,Quality Sparkling Wine/Wine,Blauburger N/Blauer Burgunder N/Blauer Portugieser N/Blauer Wildbacher N/Blaufränkisch N/Bouvier B/Cabernet Franc N/Cabernet Sauvignon N/Chardonnay B/Frühroter Veltliner B/Furmint B/Gelber Muskateller B/Goldburger B/Grauer Burgunder B/Grüner Veltliner B/Jubiläumsrebe Rg/Merlot N/Muskat Ottonel B/Müller Thurgau B/Neuburger B/Roesler N/Roter Vetliner B/Rotgipfler B/Ráthay N/Sankt Laurent N/Sauvignon Blanc B/Scheurebe B/Sylvaner B/Syrah N/Weißer Riesling B/Welschriesling B/Zierfandler Rs/Zweigelt N,Traminer B/Weißer Burgunder B,67.5,9000,na,na,No,https://ec.europa.eu/info/food-farming-fisheries/food-safety-and-quality/certification/quality-labels/geographical-indications-register/details/5506,Andau/Apetlon/Bruckneudorf/Deutsch Jahrndorf/Edelstal/Frauenkirchen/Gattendorf/Gols/Halbturn/Illmitz/Jois/Jánossomorja/Kittsee/Mönchhof/Neudorf/Neusiedl Am See/Nickelsdorf/Pama/Pamhagen/Parndorf/Podersdorf Am See/Potzneusiedl/Sankt Andrä Am Zicksee/Tadten/Wallern Im Burgenland/Weiden Am See/Winden Am See/Zurndorf,04/11/2021
